period,org_code,parent_org,org_name,type1_att,type2_att,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,type1_breach,type2_breach,other_breach,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,wait_12plus,type1_admissions,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,other_admissions,breach_rate,admission_rate,severe_wait_ratio,breached
MSitAE-APRIL-2022,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9208,0,5028,99,0,391,4967,0,3,43,0,0,325,55,2651,0,0,197,0.5394222415291051,0.2879018245004344,0.005973066898349261,1
MSitAE-APRIL-2022,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,6214,0,8238,53,0,248,3040,0,242,33,0,2,1344,137,2315,0,406,1040,0.4892178950756357,0.37254586417766333,0.02204699066623753,1
MSitAE-APRIL-2022,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10196,0,1941,55,0,148,5061,0,124,6,0,3,2096,538,2835,0,41,1603,0.49637112593173793,0.27805021577089056,0.052765790506080816,1
MSitAE-APRIL-2022,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11768,3590,6314,0,0,0,0,0,0,0,0,0,1322,131,2560,0,0,994,0.0,0.21753908905506458,0.011131883072739632,0
MSitAE-APRIL-2022,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,18106,1372,6373,1766,0,319,9455,0,2066,659,0,8,1817,690,5474,32,444,1386,0.5222025847785264,0.30233071909864134,0.03810891417209765,1
MSitAE-APRIL-2022,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,28167,0,1937,1057,0,157,9861,0,231,249,0,11,2636,17,8196,0,193,1196,0.35009053147300034,0.2909788049845564,0.0006035431533354635,1
MSitAE-APRIL-2022,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5527,0,5463,0,0,716,2682,0,462,0,0,51,666,2,1480,0,0,449,0.4852542066220373,0.26777637054459924,0.0003618599601954044,1
MSitAE-APRIL-2022,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,13316,0,3605,0,0,649,0,0,0,0,0,0,0,0,4652,0,0,1502,0.0,0.34935416040853107,0.0,0
MSitAE-APRIL-2022,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5641,237,19,209,0,0,2452,0,0,0,0,0,1,0,1456,0,0,500,0.43467470306683215,0.25811026413756427,0.0,1
MSitAE-APRIL-2022,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,6354,0,8504,0,0,1,3004,0,171,0,0,0,478,173,1542,0,0,1110,0.4727730563424614,0.24268177525967893,0.02722694365753856,1
